gene_symbol,gene_id,num_methods,methods,mean_corr_rank_score,mean_correlation,mean_abs_correlation,geo_mean_p_value,correlation_score,expression_level,expression_variability_cv,expression_level_score,expression_stability_score,mean_rank_stability_perc,rank_stability_score,final_score
ENSCGRG00001007530,ENSCGRT00001008801,2,"pearson, regression",1313226734867267.0,208513.04508290812,208513.04508290812,5.877916550639116e-11,1.0,0.03759624999999999,5.05275269646418,0.42691677142890794,0.03078583458450146,41.0,0.41,0.5941929066163476
Hdlbp,ENSCGRT00001007248,4,"pearson, spearman, kendall, regression",33547016921.049454,3.354707203754505,3.354707203754505,3.9406243196828535e-17,2.5545487333107168e-05,15115.1125,0.5544324808398986,0.9772535458543515,0.5921361581193729,73.0,0.73,0.4915067056691446
Parva,ENSCGRT00001015112,4,"pearson, spearman, kendall, regression",91162733225.90111,9.117725441412945,9.117725441412945,3.8382922640853145e-20,6.941888312616121e-05,6533.8375,0.47508807722833984,0.8112754455534151,0.6083120108493678,94.0,0.94,0.4756572028466801
Cd164,ENSCGRT00001026668,4,"pearson, spearman, kendall, regression",77521519604.56407,7.752159116465199,7.752159116465199,1.6290792617130333e-17,5.903132912718189e-05,7913.0,0.41244001369968364,0.8615583676824264,0.6209199020453573,78.0,0.78,0.46862910814318237
Cap1,ENSCGRT00001018244,3,"pearson, spearman, regression",113408275796.89331,11.348278344791117,11.348278344791117,2.448295309772919e-22,8.635848843600944e-05,6313.2875,0.5237561066887754,0.8020496377137087,0.5984158950681621,92.0,0.92,0.46841181896971135
ATP6,ENSCGRT00001000022,4,"pearson, spearman, kendall, regression",12956323589.802979,1.295672468705932,1.295672468705932,2.679058372929533e-17,9.866021796390342e-06,69529.1625,0.4601125772475298,0.9999999893476085,0.6113396972834804,48.0,0.48,0.4637048978055231
AKR1A1,ENSCGRT00001030375,4,"pearson, spearman, kendall, regression",34649862917.11022,3.465963577318921,3.465963577318921,2.4813190479122765e-15,2.6385285950344606e-05,15803.2625,0.4741523866122032,0.9810150339414279,0.608501431977869,51.0,0.51,0.4620902790934888
Akr1b1,ENSCGRT00001029161,4,"pearson, spearman, kendall, regression",65521376761.31279,6.552349345453287,6.552349345453287,2.0063410127862526e-19,4.9893422835269414e-05,7446.8375,0.582301525916553,0.8459575508067437,0.5864048462001679,72.0,0.72,0.4497679495411824
Actr1a,ENSCGRT00001016302,4,"pearson, spearman, kendall, regression",112612862858.93593,11.274970852823946,11.274970852823946,8.201578938262862e-19,8.575279490507643e-05,5096.3125,0.4763769231638646,0.7451077205749487,0.6080510435770508,83.0,0.83,0.43927427382700424
Mtch1,ENSCGRT00001013462,4,"pearson, spearman, kendall, regression",203513370042.7071,20.351339538620106,20.351339538620106,1.4273068690730226e-22,0.00015497199732480087,3320.25,0.40836470051420826,0.6447956582401108,0.6217346292718116,100.0,1.0,0.4367608806617348
Supt5,ENSCGRT00001014968,4,"pearson, spearman, kendall, regression",114155821696.60414,11.41621000941575,11.41621000941575,3.626615937755917e-19,8.692773202499744e-05,4857.575,0.4883955255824131,0.7327546777942835,0.6056145450982329,83.0,0.83,0.43520335619582995
Eif3a,ENSCGRT00001004606,3,"pearson, spearman, regression",66080361198.655914,6.763258652118441,6.763258652118441,9.47394027628092e-18,5.0319080052337586e-05,11135.7375,0.48136115746415636,0.9366020774769661,0.607041248955464,41.0,0.41,0.43355693821843033
Kdelr2,ENSCGRT00001014511,4,"pearson, spearman, kendall, regression",196501649044.71396,19.650196977549605,19.650196977549605,2.1400524156098576e-20,0.00014963269009640986,2870.775,0.4736295588675588,0.6167234227435671,0.6086072589543075,93.0,0.93,0.4158679687422548
Calm3,ENSCGRT00001020693,4,"pearson, spearman, kendall, regression",145742433285.19962,14.578355425059996,14.578355425059996,2.261878099528637e-16,0.00011098040377614637,3261.575,0.48128282819830626,0.6411824559780179,0.607057125392648,87.0,0.87,0.413957697763813
Ralbp1,ENSCGRT00001004776,4,"pearson, spearman, kendall, regression",183185931068.724,18.318594864108764,18.318594864108764,8.158422554525605e-20,0.00013949299553914376,3152.45,0.4555979396907852,0.6344200083344756,0.6122507774824033,86.0,0.86,0.41121941632091885
COX3,ENSCGRT00001000023,4,"pearson, spearman, kendall, regression",12054684623.29706,1.237939035788299,1.237939035788299,2.5140810865734277e-13,9.179438937112009e-06,77888.7125,0.3785384170038274,0.9999999988688366,0.6276762745092694,6.0,0.06,0.4031551126126163
Ilk,ENSCGRT00001029424,4,"pearson, spearman, kendall, regression",281885918223.6964,28.191696815167035,28.191696815167035,1.5619760574075948e-21,0.00021465137035318408,1777.525,0.5558348895673665,0.545470999622511,0.5918483348205064,100.0,1.0,0.4025044106579705
ND4,ENSCGRT00001000028,4,"pearson, spearman, kendall, regression",6846502132.922211,1.0413230669974751,1.0413230669974751,1.6433762140433337e-11,5.213495850443689e-06,83398.9875,0.4108700990593038,0.9999999997420379,0.6212338368107712,5.0,0.05,0.4006871608425672
Gnas,ENSCGRT00001013432,3,"pearson, spearman, regression",28140275498.379223,2.8147880441057187,2.8147880441057187,8.32423857090941e-18,2.142834496986042e-05,25843.3375,0.552923906362782,0.9986924565171349,0.5924456997848014,8.0,0.08,0.40048316326084865
Flna,ENSCGRT00001015916,4,"pearson, spearman, kendall, regression",21896559641.15354,2.2075646576297454,2.2075646576297454,3.1931411681040084e-13,1.6673860697305034e-05,23083.7375,0.5405625831807358,0.9972625979628266,0.5949793136607229,7.000000000000001,0.07,0.3989323459822353
Atp5f1b,ENSCGRT00001021277,4,"pearson, spearman, kendall, regression",23017601144.491245,2.4507023048119034,2.4507023048119034,5.096874849109324e-13,1.7527514886313768e-05,20108.1625,0.520297868428142,0.9939388452332137,0.5991218477262066,7.000000000000001,0.07,0.3985569417348496
