gene_id,anova_pvalue,kruskal_pvalue,anova_pvalue_adj,kruskal_pvalue_adj
ENSCGRT00001000001,,1.0,,1.0
ENSCGRT00001000002,0.8488718103301915,0.2796613257784956,0.8842141188226333,0.6491091805172977
ENSCGRT00001000003,,1.0,,1.0
ENSCGRT00001000004,0.911527028172821,0.5697562603878223,0.9325507758346397,1.0
ENSCGRT00001000005,0.31421951137926174,0.3296975958146777,0.4283226125118327,0.7272636024687799
ENSCGRT00001000006,0.028333331189340377,0.012073877515659782,0.07896701461047549,0.1173034995377671
ENSCGRT00001000007,,1.0,,1.0
ENSCGRT00001000008,0.4353670526775053,1.0,0.5492844496809657,1.0
ENSCGRT00001000009,9.597318616003215e-06,1.0,0.0011532102002722426,1.0
ENSCGRT00001000010,0.05318844336562714,0.07994966026266696,0.11920359190016296,0.29748243969626104
ENSCGRT00001000011,0.2252580333549828,1.0,0.3419892102080573,1.0
ENSCGRT00001000012,,1.0,,1.0
ENSCGRT00001000013,8.025009472364315e-06,1.0,0.0011532102002722426,1.0
ENSCGRT00001000014,0.03792143748001336,1.0,0.09500492744259167,1.0
ENSCGRT00001000015,0.2935042012686455,1.0,0.4139334878443825,1.0
ENSCGRT00001000016,0.18126469069348888,0.11747477121992136,0.2935515371810399,0.37010233532496695
ENSCGRT00001000017,0.06118756313959174,0.0035111015038378755,0.1319210252712249,0.06579738090144817
ENSCGRT00001000018,,1.0,,1.0
ENSCGRT00001000019,0.35603681749652394,0.14884317575727085,0.4705120208089035,0.43053767478856825
ENSCGRT00001000020,,1.0,,1.0
ENSCGRT00001000021,0.0026655727455898175,0.004316889173338668,0.030287370651779347,0.07270812673357752
ENSCGRT00001000022,0.006890670394644441,0.0011421063644807942,0.03988236501142692,0.0368349964096095
ENSCGRT00001000023,0.004310012255842962,3.1890314141152816e-05,0.03435241796373349,0.003876339080082814
ENSCGRT00001000024,0.2935042012686455,1.0,0.4139334878443825,1.0
ENSCGRT00001000025,0.6718566649520537,0.19825748726656744,0.7394323578921892,0.5149857192564948
ENSCGRT00001000026,,1.0,,1.0
ENSCGRT00001000027,0.05587641443453441,0.036672874121257255,0.12338029083232453,0.19881104133367886
ENSCGRT00001000028,0.00966559777748214,0.011814355164356546,0.04492940601468904,0.1166776972366005
ENSCGRT00001000029,,1.0,,1.0
ENSCGRT00001000030,0.7863888053574651,0.7820960047280936,0.831928040520769,1.0
ENSCGRT00001000031,,1.0,,1.0
ENSCGRT00001000032,0.19635246126808029,0.0744312180751896,0.3129293444907999,0.28500510242313476
ENSCGRT00001000033,0.14362699240611354,0.39722410281015474,0.247225048331567,0.8283702946766276
ENSCGRT00001000034,,1.0,,1.0
ENSCGRT00001000035,0.0020388884621898172,0.0009854975530285135,0.028103594001965337,0.03351103161529943
ENSCGRT00001000036,,1.0,,1.0
ENSCGRT00001000037,,1.0,,1.0
ENSCGRT00001000038,0.09413856860851279,0.2792846161106657,0.17930955756242287,0.6484658342424123
ENSCGRT00001000039,0.007210020671447766,0.012871285812189775,0.040511589463653574,0.12135890206017196
ENSCGRT00001000040,0.039648725201359716,0.09151298585212109,0.09790347060333822,0.3200723518433591
ENSCGRT00001000041,0.017596912629070385,0.042817009005245016,0.06026701215421215,0.2135344282539592
ENSCGRT00001000042,0.548649404875079,1.0,0.6306535915015167,1.0
ENSCGRT00001000043,0.09399058706185275,0.650904923639124,0.17906767048243702,1.0
ENSCGRT00001000044,0.2252580333549828,1.0,0.3419892102080573,1.0
ENSCGRT00001000045,0.4674948316732548,0.0763852908328156,0.5798928095642636,0.2897655621515577
ENSCGRT00001000046,0.01764394486538981,0.07247257104329749,0.06033121240945715,0.28084034756338716
ENSCGRT00001000047,0.5574061212863957,0.3541134826576265,0.639103734759316,0.7643013854803445
ENSCGRT00001000048,0.4469638324502253,0.529521842189453,0.5608193120762363,1.0
ENSCGRT00001000049,0.0017787193024074274,1.0,0.02721863001302798,1.0
ENSCGRT00001000050,0.09513324620221951,0.11170560502082098,0.18067974942858459,0.3591159369543338
ENSCGRT00001000051,0.004805534845636021,0.0021854225805293093,0.03545484544226241,0.05296136927013352
ENSCGRT00001000052,0.07906171771043927,1.0,0.1580369886817387,1.0
ENSCGRT00001000053,0.2781563555686231,0.24984876352593216,0.40408296994115905,0.6000496402698884
ENSCGRT00001000054,0.10425082229346289,0.0626837538831177,0.19382504327901273,0.2592110288245665
ENSCGRT00001000055,0.548649404875079,1.0,0.6306535915015167,1.0
ENSCGRT00001000056,0.03792143748001336,1.0,0.09500492744259167,1.0
ENSCGRT00001000057,0.6595419537530589,0.010949396020098064,0.7283219037992748,0.1128044037794796
ENSCGRT00001000058,0.07030018210833845,0.05721866343778219,0.1459374532306606,0.246750751939263
ENSCGRT00001000059,0.18400570033564762,0.3383294645467303,0.2972944823174399,0.7408860336834019
ENSCGRT00001000060,0.028243372758377325,0.08816750536590247,0.07879961573406646,0.313279303533992
ENSCGRT00001000061,0.0808774197705624,0.11522496637571962,0.16083734899827304,0.36576560609483105
ENSCGRT00001000062,0.010860339970253778,0.4180377619940051,0.04684406404004873,0.8587462564457504
ENSCGRT00001000063,0.0056649350658306815,0.008260800126923084,0.037154162708681944,0.09815930186834974
ENSCGRT00001000064,0.7863888053574651,0.7820960047280936,0.831928040520769,1.0
ENSCGRT00001000065,,1.0,,1.0
ENSCGRT00001000066,0.07731594743963942,1.0,0.15537650761099586,1.0
ENSCGRT00001000067,0.31783334819632286,1.0,0.430836646032344,1.0
ENSCGRT00001000068,0.2935042012686455,1.0,0.4139334878443825,1.0
ENSCGRT00001000069,,1.0,,1.0
ENSCGRT00001000070,0.645078241454465,0.032765239006910966,0.7156182941963107,0.18987124059400812
ENSCGRT00001000071,0.21230168609960737,0.2437659788981884,0.33247563813457454,0.5899667394790375
ENSCGRT00001000072,0.42830356160580696,0.00020379232295212755,0.5428614547486269,0.0129916608854961
ENSCGRT00001000073,0.007485064316019994,0.00792451508535963,0.04113230804256848,0.09639614703065082
ENSCGRT00001000074,0.13964269947584756,0.10544449428072378,0.24194525117687804,0.3473992533864391
ENSCGRT00001000075,0.548649404875079,1.0,0.6306535915015167,1.0
ENSCGRT00001000076,0.11217870747968191,0.000808229025916647,0.204800758915399,0.030084721677467306
ENSCGRT00001000077,0.016635583445163058,0.22462202277101104,0.058533286045573736,0.5583158106049485
ENSCGRT00001000078,0.1612058118981857,0.4688198601563667,0.26751614794282336,0.9328859424869466
ENSCGRT00001000079,0.013795140478042764,0.014448414083503648,0.05274467065954982,0.12731308744319406
ENSCGRT00001000080,0.11406196510540025,0.005310806247688047,0.20736624058158926,0.07961622012360425
ENSCGRT00001000081,0.5199652887822195,0.43616198418216945,0.6305284686707201,0.886972519927483
ENSCGRT00001000082,0.6640873019837776,0.1745893019054122,0.7326116001465193,0.474742996566837
ENSCGRT00001000083,0.5194265916920221,1.0,0.6305284686707201,1.0
ENSCGRT00001000084,0.024935927703278547,0.3141124835742383,0.0729549764103465,0.7048166596579686
