feature,target,pearson_r,pearson_p,spearman_rho,spearman_p,mutual_info,n_samples,pearson_p_adjusted,spearman_p_adjusted,is_significant,effect_size
UTR5_GC,cv,0.6983638298627383,1.9125080724575084e-08,0.699191855043079,1.9125080724575084e-08,0.3296135333639363,7231,2.1250089693972317e-08,2.1250089693972317e-08,True,0.6987778424529086
UTR3_GC,cv,0.6258716669864541,1.9125080724575084e-08,0.6900200609131873,1.9125080724575084e-08,0.32397111771409115,7231,2.1250089693972317e-08,2.1250089693972317e-08,True,0.6579458639498208
miRNA_seed_matches,cv,0.530492146073553,1.0469940230985103e-08,0.6895207005152739,1.0469940230985103e-08,0.24814930013076353,9773,1.495705747283586e-08,1.495705747283586e-08,True,0.6100064232944135
mean_expression,cv,0.2235033417417071,1.0469940230985103e-08,0.9614337006174057,1.0469940230985103e-08,0.5833555745366672,9773,1.495705747283586e-08,1.495705747283586e-08,True,0.5924685211795564
UTR3_length,cv,0.5391309957135455,1.0469940230985103e-08,0.531569724665076,1.0469940230985103e-08,0.24723505871610119,9773,1.495705747283586e-08,1.495705747283586e-08,True,0.5353503601893108
UTR5_length,cv,0.5256178715944482,1.0469940230985103e-08,0.5242267779907226,1.0469940230985103e-08,0.25547811044560653,9773,1.495705747283586e-08,1.495705747283586e-08,True,0.5249223247925854
CAI,cv,0.5132913376366051,1.0469940230985103e-08,0.49273242214290375,1.0469940230985103e-08,0.171910059247395,9773,1.495705747283586e-08,1.495705747283586e-08,True,0.5030118798897544
UTR5_AUG_count,cv,0.3844086425005438,1.0469940230985103e-08,0.5332810680184253,1.0469940230985103e-08,0.14684886026855093,9773,1.495705747283586e-08,1.495705747283586e-08,True,0.4588448552594846
GC3_content,cv,0.43525507214856507,1.0469940230985103e-08,0.40035284103880925,1.0469940230985103e-08,0.17276602873296731,9773,1.495705747283586e-08,1.495705747283586e-08,True,0.4178039565936872
stability_category,cv,,1.0,,1.0,0.0,9773,1.0,1.0,False,
