gene_id,region,sequence_length,mfe,mfe_per_nucleotide
ENSCGRT00001011960,5'UTR,19,-7.8020378141033255,-0.41063356916333293
ENSCGRT00001011949,5'UTR,19,-6.523578539498673,-0.34334623892098276
ENSCGRT00001011948,5'UTR,19,-7.266415042916953,-0.3824428969956291
ENSCGRT00001011942,5'UTR,19,-7.3248533274463075,-0.3855185961813846
ENSCGRT00001011936,5'UTR,19,-8.775849100557513,-0.46188679476618494
ENSCGRT00001011934,5'UTR,19,-8.530629520826881,-0.4489805010961517
ENSCGRT00001011930,5'UTR,19,-6.713923117321034,-0.3533643745958439
ENSCGRT00001011926,5'UTR,19,-7.134741323238883,-0.3755127012230991
ENSCGRT00001011915,5'UTR,19,-6.856279149950214,-0.36085679736580073
ENSCGRT00001011910,5'UTR,19,-8.388315086560896,-0.44149026771373134
ENSCGRT00001011903,5'UTR,19,-6.941378011416109,-0.3653356848113742
ENSCGRT00001011902,5'UTR,19,-8.351602880204169,-0.4395580463265352
ENSCGRT00001011893,5'UTR,19,-7.971097613122784,-0.4195314533222518
ENSCGRT00001011886,5'UTR,19,-6.215091101961908,-0.3271100579979952
ENSCGRT00001011879,5'UTR,19,-8.935180691574727,-0.47027266797761724
ENSCGRT00001011875,5'UTR,19,-6.86743836957996,-0.36144412471473475
ENSCGRT00001011965,5'UTR,19,-7.396133546706713,-0.38927018666877433
ENSCGRT00001011874,5'UTR,19,-7.831206301462532,-0.4121687527085543
ENSCGRT00001011967,5'UTR,19,-6.271121737671813,-0.3300590388248323
ENSCGRT00001011972,5'UTR,19,-8.266272095673068,-0.4350669524038457
ENSCGRT00001012092,5'UTR,19,-8.639369057498126,-0.4547036346051645
ENSCGRT00001012081,5'UTR,19,-7.151727787251391,-0.3764067256448101
ENSCGRT00001012076,5'UTR,19,-7.863726172880427,-0.4138803248884435
ENSCGRT00001012060,5'UTR,19,-8.56417297488015,-0.4507459460463236
ENSCGRT00001012058,5'UTR,19,-8.907860429685305,-0.46883475945712133
ENSCGRT00001012053,5'UTR,19,-6.814208741468352,-0.3586425653404396
ENSCGRT00001012052,5'UTR,19,-6.716003539830192,-0.3534738705173785
ENSCGRT00001012038,5'UTR,19,-7.810519887963777,-0.4110799941033567
